ID,Timestamp,Keywords,Account handle,Account name,AccountType,Joined,Tweet,Tweet Translated,Robredo,Marcos,Pacquiao,Tweet Type,DatePosted,Content type,Likes,Replies,Retweets,Rating,Tokenizing & Stop Words Removal,Stemmed,Lemmatized
41-13,29/03/23 21:57:28,pacquiao,@louise107,á’ªâ‘¡á‘Œ1á”•á—´,Anonymous,05/09,"Former kasambahay messaged saying she took P500 from Pacquiao but voted for Leni. She is so puzzled by the numbers. Malakas daw si Leni sa probinsiya nila, followed by Pacquiao.",former maid messaged saying she took p500 from pacquiao but voted for leni she is so puzzled by the numbers leni is strong in their province followed by pacquiao,0,0,1,Text,2022-11-05 19:48,Rational,0,0,0,UNPROVEN,former maid messaged saying took p500 pacquiao voted leni puzzled numbers leni strong province followed pacquiao,"['former', 'maid', 'messag', 'say', 'took', 'p500', 'pacquiao', 'vote', 'leni', 'puzzl', 'number', 'leni', 'strong', 'provinc', 'follow', 'pacquiao']","['former', 'maid', 'messaged', 'saying', 'took', 'p500', 'pacquiao', 'voted', 'leni', 'puzzled', 'number', 'leni', 'strong', 'province', 'followed', 'pacquiao']"
41-14,29/03/23 22:06:32,pacquiao,@myBoo_0812,myBoo_08,Anonymous,12/21,Meron ding vote buying ang nagaganap dito sa amin mostly Leni and Pacquiao.,there is also vote buying going on here with us mostly leni and pacquiao,0,0,1,Text,2022-12-05 19:55,Rational,2,0,0,UNPROVEN,also vote buying going us mostly leni pacquiao,"['also', 'vote', 'buy', 'go', 'us', 'mostli', 'leni', 'pacquiao']","['also', 'vote', 'buying', 'going', 'u', 'mostly', 'leni', 'pacquiao']"
41-15,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@migstower,migstower #justiceforPercyLapid,Anonymous,03/20,"The Bulusan Volcano Eruption is a litmus test for the duly convicted 88M to prove himself ! As usual, walang maasahan Sa mga politikong bumibili ng boto !!!",the bulusan volcano eruption is a litmus test for the duly convicted 88m to prove himself as usual no one can count on politicians who buy votes,0,1,0,Text,2022-06-06 11:18,Emotional,12,0,4,UNPROVEN,bulusan volcano eruption litmus test duly convicted 88m prove usual one count politicians buy votes,"['bulusan', 'volcano', 'erupt', 'litmu', 'test', 'duli', 'convict', '88m', 'prove', 'usual', 'one', 'count', 'politician', 'buy', 'vote']","['bulusan', 'volcano', 'eruption', 'litmus', 'test', 'duly', 'convicted', '88m', 'prove', 'usual', 'one', 'count', 'politician', 'buy', 'vote']"
41-16,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@j_obra2,j_obra -- AngatBuhayLahat,Anonymous,09/17,@IamCharotism Ang bumibili ng boto tulad ni Marcos Jr ay hindi totoong nanalo sa puso ng Pilipino.,the vote buyer like marcos jr did not really win the heart of the filipino,0,1,0,"Text, Reply",2022-01-06 22:28,Emotional,8,0,0,UNPROVEN,vote buyer like marcos jr really win heart filipino,"['vote', 'buyer', 'like', 'marco', 'jr', 'realli', 'win', 'heart', 'filipino']","['vote', 'buyer', 'like', 'marcos', 'jr', 'really', 'win', 'heart', 'filipino']"
41-17,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@charlesdlcruz,Chaki,Identified,08/09,Napakalaki ng perang nilabas nila hindi lang sa paghakot kundi sa pagbili ng boto. A friend had 1sthand experience at involved sa vote buying ang ibang nasa loob ng precincts to verify. Vote 1st Pay later daw. Sa tagaytay daw yan nangyari for 2k.,they took out a lot of money not only for hauling but also for buying votes. a friend had 1sthand experience and was involved in vote buying. others were inside the precincts to verify vote 1st pay later. it is said that it happened in tagaytay for 2k.,0,1,0,"Text, Reply",13/05/22 00:27,Rational,0,1,0,UNPROVEN,took lot money hauling also buying votes . friend 1sthand experience involved vote buying . Others inside precincts verify vote 1st pay later . said happened Ridgetay 2k .,"['took', 'lot', 'money', 'haul', 'also', 'buy', 'vote', '.', 'friend', '1sthand', 'experi', 'involv', 'vote', 'buy', '.', 'other', 'insid', 'precinct', 'verifi', 'vote', '1st', 'pay', 'later', '.', 'said', 'happen', 'ridgetay', '2k', '.']","['took', 'lot', 'money', 'hauling', 'also', 'buying', 'vote', '.', 'friend', '1sthand', 'experience', 'involved', 'vote', 'buying', '.', 'Others', 'inside', 'precinct', 'verify', 'vote', '1st', 'pay', 'later', '.', 'said', 'happened', 'Ridgetay', '2k', '.']"
41-18,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@lizramo88275071,lizramos,Anonymous,01/22,"hoiiii ugok, kayo ang transparent na bumibili ng boto since the beggining of election day. Masakit bang malaman na kahit naubos na yung sako sako niyong pera ay kulelat pa rin ang iyong MANOK, hindi kasi marunong humimas eh. NEGATIVE CAMPAINING NEVER WIN.","hoiiii you are the ones who are transparently buying votes since the beginning of election day, does it hurt to know that even though your sack of money has been used up, your chicken is still clucking because you don't know how to peck, negative campaigning never win",1,0,0,"Text, Reply",22/05/22 08:54,Emotional,1,0,0,UNPROVEN,"hoiiii ones transparently buying votes since beginning election day , hurt know even though sack money used , chicken still clucking n't know peck , negative campaigning never win","['hoiiii', 'one', 'transpar', 'buy', 'vote', 'sinc', 'begin', 'elect', 'day', ',', 'hurt', 'know', 'even', 'though', 'sack', 'money', 'use', ',', 'chicken', 'still', 'cluck', ""n't"", 'know', 'peck', ',', 'neg', 'campaign', 'never', 'win']","['hoiiii', 'one', 'transparently', 'buying', 'vote', 'since', 'beginning', 'election', 'day', ',', 'hurt', 'know', 'even', 'though', 'sack', 'money', 'used', ',', 'chicken', 'still', 'clucking', ""n't"", 'know', 'peck', ',', 'negative', 'campaigning', 'never', 'win']"
41-19,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@liapatrick,chin chaekyong,Anonymous,11/11,"@kidbookid1 @IskoMoreno @kidbookid1 si Yorme wala ng excess. Kaya nga natalo kasi ni pambili ng tarpaulin abonado pa volunteers niya. hindi gaya niyo at ni Leni daming pera, bumibili din ng pupunta sa rally, pati boto at partido. ang yaman. tapos gawa pa ng NGO kuno","yorme doesn't have an excess, that's why he lost because he bought tarpaulin, his volunteers are not like you and leni, he also has a lot of money to buy people who go to the rally, votes and parties, and the wealth is still made by someone who is supposed to",1,0,0,"Text, Reply",20/05/22 14:17,Emotional,1,0,0,UNPROVEN,"yorme n't excess , 's lost bought tarpaulin , volunteers like leni , also lot money buy people go rally , votes parties , wealth still made someone supposed","['yorm', ""n't"", 'excess', ',', ""'s"", 'lost', 'bought', 'tarpaulin', ',', 'volunt', 'like', 'leni', ',', 'also', 'lot', 'money', 'buy', 'peopl', 'go', 'ralli', ',', 'vote', 'parti', ',', 'wealth', 'still', 'made', 'someon', 'suppos']","['yorme', ""n't"", 'excess', ',', ""'s"", 'lost', 'bought', 'tarpaulin', ',', 'volunteer', 'like', 'leni', ',', 'also', 'lot', 'money', 'buy', 'people', 'go', 'rally', ',', 'vote', 'party', ',', 'wealth', 'still', 'made', 'someone', 'supposed']"
41-20,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@Claire31552016,Claire,Anonymous,05/22,@Mustang0020 @tine49681434 @jiiinnnsssiii @RegineCabato Wait let me ask you? Do you think yung mga kakampink di bumibili ng boto? Punta ka dito sa Region 2 halos karamihan nag vote buying binabahay bahay pa nga nila yung pera. Karamihan sa mga nangangandidato nagbibigay ng pera. Kaya di nako magugulat doon.,wait let me ask you do you think those who are in the pink party don't buy votes come here to region 2 almost most vote buys even put the money in their houses most of the candidates give money so i won't be surprised there,1,0,0,"Text, reply",18/05/22 19:32,"Rational, Emotional",0,1,0,UNPROVEN,wait let ask think pink party n't buy votes come region 2 almost vote buys even put money houses candidates give money wo n't surprised,"['wait', 'let', 'ask', 'think', 'pink', 'parti', ""n't"", 'buy', 'vote', 'come', 'region', '2', 'almost', 'vote', 'buy', 'even', 'put', 'money', 'hous', 'candid', 'give', 'money', 'wo', ""n't"", 'surpris']","['wait', 'let', 'ask', 'think', 'pink', 'party', ""n't"", 'buy', 'vote', 'come', 'region', '2', 'almost', 'vote', 'buy', 'even', 'put', 'money', 'house', 'candidate', 'give', 'money', 'wo', ""n't"", 'surprised']"
41-21,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@tarog76,Grass court2018maine2019,Anonymous,09/16,Naiingit Ang pinklawan na bumili NG boto pero natalo kaya hindi makatulog,pinklawan is jealous of buying votes but losing so he can't sleep,1,0,0,"Text, reply",2022-07-06 21:57,Emotional,0,0,0,UNPROVEN,pinklawan jealous buying votes losing ca n't sleep,"['pinklawan', 'jealou', 'buy', 'vote', 'lose', 'ca', ""n't"", 'sleep']","['pinklawan', 'jealous', 'buying', 'vote', 'losing', 'ca', ""n't"", 'sleep']"
41-22,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@bpmjpmj,tseryhan1125,Anonymous,03/12,@attrolito @EDENAGU43721338 Hindi lang pumabor sa inyo eh. Wala ka namang ebidensiya na nagbayad para iboto si Marcos. Si Leni hayagang bumili ng boto wala kayong paki? Nakz ano to ? Kaya natatalo eh dahil mga epokrito kayo. Mga ugali niyo mga basura sa lipunan.,"it's not just in your favor, you don't have any evidence that you paid to vote for marcos, leni openly bought votes, you don't care, kz, why are you losing because you're hypocrites, your habits are trash in society",1,0,0,"Text, reply",2022-03-06 04:27,Emotional,0,0,0,UNPROVEN,"s favor , n't evidence paid vote marcos , leni openly bought votes , n't care , kz , losing 're hypocrites , habits trash society","[""'s"", 'favor', ',', ""n't"", 'evid', 'paid', 'vote', 'marco', ',', 'leni', 'openli', 'bought', 'vote', ',', ""n't"", 'care', ',', 'kz', ',', 'lose', ""'re"", 'hypocrit', ',', 'habit', 'trash', 'societi']","[""'s"", 'favor', ',', ""n't"", 'evidence', 'paid', 'vote', 'marcos', ',', 'leni', 'openly', 'bought', 'vote', ',', ""n't"", 'care', ',', 'kz', ',', 'losing', ""'re"", 'hypocrite', ',', 'habit', 'trash', 'society']"
41-23,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@iammonmond,â“‚&M,Anonymous,02/12,@godfatherJK5 Lol! 31M is fake. Isa pa kakarmahin din ang mga bumili ng boto at nangdaya. â˜ºï¸,lol 31m is fake and those who bought votes and cheated will also be punished,0,1,0,"Text, reply",28/05/22 00:02,Emotional,0,0,0,UNPROVEN,lol 31m fake bought votes cheated also punished,"['lol', '31m', 'fake', 'bought', 'vote', 'cheat', 'also', 'punish']","['lol', '31m', 'fake', 'bought', 'vote', 'cheated', 'also', 'punished']"
41-24,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@twinstari18,TinaMGonzalez,Identified,04/08,@aupijuan Naniniwala ako na 31M. Kasi ang daming vote buying na naganap. Ang daming niyang pera para bumili ng boto. Alam natin na higit sa 15M ang boto para kay Bise Leni,"i believe that 31m is the amount of vote buying that took place because he spent a lot of money to buy votes, we know that the vote for vice leni is more than 15m",0,1,0,"Text, reply",28/05/22 08:55,Emotional,10,3,0,UNPROVEN,"believe 31m amount vote buying took place spent lot money buy votes , know vote vice leni 15m","['believ', '31m', 'amount', 'vote', 'buy', 'took', 'place', 'spent', 'lot', 'money', 'buy', 'vote', ',', 'know', 'vote', 'vice', 'leni', '15m']","['believe', '31m', 'amount', 'vote', 'buying', 'took', 'place', 'spent', 'lot', 'money', 'buy', 'vote', ',', 'know', 'vote', 'vice', 'leni', '15m']"
41-25,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@nayu666z,inactive,Anonymous,02/21,afford bumili ng boto pero di afford magbayad ng tax,can afford to buy votes but can't afford to pay taxes.,0,1,0,Text,2022-09-05 17:33,Rational,10,1,2,UNPROVEN,afford buy votes cant afford pay taxes,"['afford', 'buy', 'vote', 'cant', 'afford', 'pay', 'tax']","['afford', 'buy', 'vote', 'cant', 'afford', 'pay', 'tax']"
41-26,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@arnel445,R-NEL AGUSTIN,Identified,01/22,Yellowpenk pala ang bumibili ng boto kahit bigyan niyo ako pera BBM SARAH pa rin bilugan ko pg naabutan ako nito.,"it seems that yellowpink is the one buying votes, but even if you give me money, i will still support bbm sarah. i will stick to my decision if i encounter this situation.",1,0,0,"Text, reply",2022-12-05 18:39,Emotional,0,0,0,UNPROVEN,seems yellowpink one buying votes even give money still support bbm sarah stick decision encounter situation,"['seem', 'yellowpink', 'one', 'buy', 'vote', 'even', 'give', 'money', 'still', 'support', 'bbm', 'sarah', 'stick', 'decis', 'encount', 'situat']","['seems', 'yellowpink', 'one', 'buying', 'vote', 'even', 'give', 'money', 'still', 'support', 'bbm', 'sarah', 'stick', 'decision', 'encounter', 'situation']"
41-27,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@carbshyuck,jeo won-ah,Anonymous,03/21,"so you agree nga? KRIMINAL ang presidente mo?? sino nga namang hindi magiging proud kung ang presidente mo eh banned sa us at switzerland, KRIMINAL, tax evader, may ill-gotten wealth, KRIMINAL ulit, at bumibili ng boto?? sobra ngang nakakaproud!!","so you agree, right? your president is a criminal?? who wouldn't be proud if your president is banned in the us and switzerland, a criminal, a tax evader, has ill-gotten wealth, a criminal again, and buys votes?? indeed, it's really something to be proud of!",0,1,0,"Text, reply",2022-12-06 00:17,Emotional,2,0,0,UNPROVEN,agree right president criminal wouldnt proud president banned us switzerland criminal tax evader illgotten wealth criminal buys votes indeed really something proud,"['agre', 'right', 'presid', 'crimin', 'wouldnt', 'proud', 'presid', 'ban', 'us', 'switzerland', 'crimin', 'tax', 'evad', 'illgotten', 'wealth', 'crimin', 'buy', 'vote', 'inde', 'realli', 'someth', 'proud']","['agree', 'right', 'president', 'criminal', 'wouldnt', 'proud', 'president', 'banned', 'u', 'switzerland', 'criminal', 'tax', 'evader', 'illgotten', 'wealth', 'criminal', 'buy', 'vote', 'indeed', 'really', 'something', 'proud']"
41-28,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@keuragi,kino,Anonymous,04/22,kwento mo sa presidente mong bumibili ng boto â¤âœŒ,tell me the story about your president who buys votes.,0,1,0,"Text, reply",23/04/22 16:05,Emotional,0,1,0,UNPROVEN,tell story president buys votes,"['tell', 'stori', 'presid', 'buy', 'vote']","['tell', 'story', 'president', 'buy', 'vote']"
41-29,30/03/23 22:10:13,"Vote buying, bumibili ng boto, bumili ng boto, vote-buying",@Majarot15,LeniHakotAueen,Anonymous,04/21,So alam na bumibili pala siya ng boto https://t.co/m8lLsDudb8,so it has been found out that he actually buys votes.,1,0,0,"Text, Video",20/04/22 18:50,Rational,0,0,0,UNPROVEN,found actually buys votes,"['found', 'actual', 'buy', 'vote']","['found', 'actually', 'buy', 'vote']"
